Validation_Set,Topics,Power_iters,Decay,Coherence
75% Corpus,3,10,0.3,0.4101673665674121
75% Corpus,3,10,0.4,0.4184204546736143
75% Corpus,3,10,0.5,0.34922816133261564
75% Corpus,3,10,0.6,0.344369554338596
75% Corpus,3,10,0.7,0.29532382391570794
75% Corpus,3,10,0.8,0.25876071553212143
75% Corpus,3,10,0.9,0.2552453236539531
75% Corpus,3,10,1.0,0.2552453236539531
75% Corpus,4,0,0.0,0.5435610548761629
75% Corpus,4,0,0.1,0.3286682613793897
75% Corpus,4,0,0.2,0.3340087438552046
75% Corpus,4,0,0.3,0.3404431513452538
75% Corpus,4,0,0.4,0.3400727270482408
75% Corpus,4,0,0.5,0.2901318565865327
75% Corpus,4,0,0.6,0.36398608204029437
75% Corpus,4,0,0.7,0.3223206013071902
75% Corpus,4,0,0.8,0.32553082275418244
75% Corpus,4,0,0.9,0.3235749478144474
75% Corpus,4,0,1.0,0.25412107284811125
75% Corpus,4,1,0.0,0.6795328292303371
75% Corpus,4,1,0.1,0.3286682613793897
75% Corpus,4,1,0.2,0.3340087438552046
75% Corpus,4,1,0.3,0.3404431513452538
75% Corpus,4,1,0.4,0.3400727270482408
75% Corpus,4,1,0.5,0.2901318565865327
75% Corpus,4,1,0.6,0.3554224538868349
75% Corpus,4,1,0.7,0.3223206013071902
75% Corpus,4,1,0.8,0.32553082275418244
75% Corpus,4,1,0.9,0.3235749478144474
75% Corpus,4,1,1.0,0.25412107284811125
75% Corpus,4,4,0.0,0.6672934945333246
75% Corpus,4,4,0.1,0.3286682613793897
75% Corpus,4,4,0.2,0.3340087438552046
75% Corpus,4,4,0.3,0.3404431513452538
75% Corpus,4,4,0.4,0.3400727270482408
75% Corpus,4,4,0.5,0.2901318565865327
75% Corpus,4,4,0.6,0.36398608204029437
75% Corpus,4,4,0.7,0.3223206013071902
75% Corpus,4,4,0.8,0.32553082275418244
75% Corpus,4,4,0.9,0.3235749478144474
75% Corpus,4,4,1.0,0.25412107284811125
75% Corpus,4,6,0.0,0.5998499847879888
75% Corpus,4,6,0.1,0.3286682613793897
75% Corpus,4,6,0.2,0.3340087438552046
75% Corpus,4,6,0.3,0.3404431513452538
75% Corpus,4,6,0.4,0.3400727270482408
75% Corpus,4,6,0.5,0.2901318565865327
75% Corpus,4,6,0.6,0.3554224538868349
75% Corpus,4,6,0.7,0.3223206013071902
75% Corpus,4,6,0.8,0.32553082275418244
75% Corpus,4,6,0.9,0.3235749478144474
75% Corpus,4,6,1.0,0.25412107284811125
