Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,19,0.61,0.01,0.2911563932446219
75% Corpus,19,0.61,0.31,0.2693847822553686
75% Corpus,19,0.61,0.61,0.34243658199850496
75% Corpus,19,0.61,0.9099999999999999,0.3283958467165405
75% Corpus,19,0.61,symmetric,0.28541796515359047
75% Corpus,19,0.9099999999999999,0.01,0.2983439932034497
75% Corpus,19,0.9099999999999999,0.31,0.28108448318664064
75% Corpus,19,0.9099999999999999,0.61,0.3171524307130035
75% Corpus,19,0.9099999999999999,0.9099999999999999,0.32410029676098956
75% Corpus,19,0.9099999999999999,symmetric,0.2976471385542152
75% Corpus,19,symmetric,0.01,0.2787029792636331
75% Corpus,19,symmetric,0.31,0.2873700393301514
75% Corpus,19,symmetric,0.61,0.2863670874257373
75% Corpus,19,symmetric,0.9099999999999999,0.3361569992838313
75% Corpus,19,symmetric,symmetric,0.2946622128532586
75% Corpus,19,asymmetric,0.01,0.29564716890342924
75% Corpus,19,asymmetric,0.31,0.302830294075668
75% Corpus,19,asymmetric,0.61,0.34164511332072595
75% Corpus,19,asymmetric,0.9099999999999999,0.4234103418824711
75% Corpus,19,asymmetric,symmetric,0.28871464266765984
75% Corpus,20,0.01,0.01,0.2867564293800809
75% Corpus,20,0.01,0.31,0.34931950517137694
75% Corpus,20,0.01,0.61,0.32660735224109916
75% Corpus,20,0.01,0.9099999999999999,0.4161798782902261
75% Corpus,20,0.01,symmetric,0.3210849497227759
75% Corpus,20,0.31,0.01,0.31070158891942923
75% Corpus,20,0.31,0.31,0.3193954422336397
75% Corpus,20,0.31,0.61,0.36764039086057637
75% Corpus,20,0.31,0.9099999999999999,0.4464266227394882
75% Corpus,20,0.31,symmetric,0.2899248541410947
75% Corpus,20,0.61,0.01,0.283988062793643
75% Corpus,20,0.61,0.31,0.3144942087671304
75% Corpus,20,0.61,0.61,0.383943895461822
75% Corpus,20,0.61,0.9099999999999999,0.4144613976398867
75% Corpus,20,0.61,symmetric,0.2849668440075731
75% Corpus,20,0.9099999999999999,0.01,0.29482959011738813
75% Corpus,20,0.9099999999999999,0.31,0.30923130405453747
75% Corpus,20,0.9099999999999999,0.61,0.4036975132100813
75% Corpus,20,0.9099999999999999,0.9099999999999999,0.4133424440902064
75% Corpus,20,0.9099999999999999,symmetric,0.283693167508731
75% Corpus,20,symmetric,0.01,0.2953190831349157
75% Corpus,20,symmetric,0.31,0.31167540706220065
75% Corpus,20,symmetric,0.61,0.32015354574694377
75% Corpus,20,symmetric,0.9099999999999999,0.4182862371292515
75% Corpus,20,symmetric,symmetric,0.2913744794314325
75% Corpus,20,asymmetric,0.01,0.3137418233107958
75% Corpus,20,asymmetric,0.31,0.32372107606564676
75% Corpus,20,asymmetric,0.61,0.3343138721838411
75% Corpus,20,asymmetric,0.9099999999999999,0.4577099959404342
75% Corpus,20,asymmetric,symmetric,0.30928866685553613
75% Corpus,21,0.01,0.01,0.28960732496908925
75% Corpus,21,0.01,0.31,0.27794569580438167
75% Corpus,21,0.01,0.61,0.3684958601628169
75% Corpus,21,0.01,0.9099999999999999,0.43373136365467324
75% Corpus,21,0.01,symmetric,0.28561078353224373
75% Corpus,21,0.31,0.01,0.2857083478369959
75% Corpus,21,0.31,0.31,0.27115931447518793
75% Corpus,21,0.31,0.61,0.37291595094635416
75% Corpus,21,0.31,0.9099999999999999,0.38749764745128157
75% Corpus,21,0.31,symmetric,0.26837511588639285
75% Corpus,21,0.61,0.01,0.2883502015017671
75% Corpus,21,0.61,0.31,0.3358453705265082
75% Corpus,21,0.61,0.61,0.34063556235214826
75% Corpus,21,0.61,0.9099999999999999,0.3453611776240072
75% Corpus,21,0.61,symmetric,0.28672439741478
75% Corpus,21,0.9099999999999999,0.01,0.2860173251626412
75% Corpus,21,0.9099999999999999,0.31,0.3319250592632307
75% Corpus,21,0.9099999999999999,0.61,0.3761662541033921
75% Corpus,21,0.9099999999999999,0.9099999999999999,0.42630072409002445
75% Corpus,21,0.9099999999999999,symmetric,0.2800037667457632
75% Corpus,21,symmetric,0.01,0.29377541786230166
75% Corpus,21,symmetric,0.31,0.30030983686102136
75% Corpus,21,symmetric,0.61,0.37174023546742163
75% Corpus,21,symmetric,0.9099999999999999,0.4403225013975597
75% Corpus,21,symmetric,symmetric,0.28500634638452216
75% Corpus,21,asymmetric,0.01,0.2931821113591448
75% Corpus,21,asymmetric,0.31,0.28919285347712614
75% Corpus,21,asymmetric,0.61,0.4165028754233055
75% Corpus,21,asymmetric,0.9099999999999999,0.4358026783030915
75% Corpus,21,asymmetric,symmetric,0.28681565874441006
75% Corpus,22,0.01,0.01,0.2946131933448145
75% Corpus,22,0.01,0.31,0.3491573138747653
75% Corpus,22,0.01,0.61,0.39469995210781494
75% Corpus,22,0.01,0.9099999999999999,0.43285536640563577
75% Corpus,22,0.01,symmetric,0.3170756945130686
75% Corpus,22,0.31,0.01,0.31604836024943245
75% Corpus,22,0.31,0.31,0.31645973629282714
75% Corpus,22,0.31,0.61,0.3589631121166446
75% Corpus,22,0.31,0.9099999999999999,0.36620389296561356
75% Corpus,22,0.31,symmetric,0.2959029852006388
75% Corpus,22,0.61,0.01,0.3020096275676822
75% Corpus,22,0.61,0.31,0.3315954631526336
75% Corpus,22,0.61,0.61,0.4083498809542141
75% Corpus,22,0.61,0.9099999999999999,0.40690080496962683
75% Corpus,22,0.61,symmetric,0.30180786184218406
75% Corpus,22,0.9099999999999999,0.01,0.3071011720200496
75% Corpus,22,0.9099999999999999,0.31,0.3210877888792141
75% Corpus,22,0.9099999999999999,0.61,0.3904369456696469
75% Corpus,22,0.9099999999999999,0.9099999999999999,0.44000091920669426
75% Corpus,22,0.9099999999999999,symmetric,0.3011235335043289
75% Corpus,22,symmetric,0.01,0.2953573374506977
75% Corpus,22,symmetric,0.31,0.3429764163558468
75% Corpus,22,symmetric,0.61,0.36830247714373987
75% Corpus,22,symmetric,0.9099999999999999,0.4426426582475532
75% Corpus,22,symmetric,symmetric,0.29309058241192554
75% Corpus,22,asymmetric,0.01,0.30536862095426576
75% Corpus,22,asymmetric,0.31,0.3256182717836696
75% Corpus,22,asymmetric,0.61,0.3697185135106253
75% Corpus,22,asymmetric,0.9099999999999999,0.46935573100669914
75% Corpus,22,asymmetric,symmetric,0.30392361664391093
75% Corpus,23,0.01,0.01,0.2809382914280138
75% Corpus,23,0.01,0.31,0.3353018239060852
75% Corpus,23,0.01,0.61,0.4057082746012841
75% Corpus,23,0.01,0.9099999999999999,0.402622346467799
75% Corpus,23,0.01,symmetric,0.29532902696462066
75% Corpus,23,0.31,0.01,0.2950474311824114
75% Corpus,23,0.31,0.31,0.3004379119816811
75% Corpus,23,0.31,0.61,0.3881330236312113
75% Corpus,23,0.31,0.9099999999999999,0.3980446165349631
75% Corpus,23,0.31,symmetric,0.2787833624561022
75% Corpus,23,0.61,0.01,0.2914607963245731
75% Corpus,23,0.61,0.31,0.3216892709933887
75% Corpus,23,0.61,0.61,0.38164224966786625
75% Corpus,23,0.61,0.9099999999999999,0.423922112842334
75% Corpus,23,0.61,symmetric,0.2882432929423717
75% Corpus,23,0.9099999999999999,0.01,0.3010984912165349
75% Corpus,23,0.9099999999999999,0.31,0.34467880750979124
75% Corpus,23,0.9099999999999999,0.61,0.40093727053357303
75% Corpus,23,0.9099999999999999,0.9099999999999999,0.3986296954805678
75% Corpus,23,0.9099999999999999,symmetric,0.30135986880494936
75% Corpus,23,symmetric,0.01,0.2829206349385366
75% Corpus,23,symmetric,0.31,0.33985672630418606
75% Corpus,23,symmetric,0.61,0.40120652410014446
75% Corpus,23,symmetric,0.9099999999999999,0.39964350340916044
75% Corpus,23,symmetric,symmetric,0.28539772805052804
75% Corpus,23,asymmetric,0.01,0.2942163966064088
75% Corpus,23,asymmetric,0.31,0.311605010792952
75% Corpus,23,asymmetric,0.61,0.373161199778943
75% Corpus,23,asymmetric,0.9099999999999999,0.45110456270307925
75% Corpus,23,asymmetric,symmetric,0.30158636016049256
75% Corpus,24,0.01,0.01,0.31333276908868496
75% Corpus,24,0.01,0.31,0.321551525816014
75% Corpus,24,0.01,0.61,0.384961844863083
75% Corpus,24,0.01,0.9099999999999999,0.36383062888834194
75% Corpus,24,0.01,symmetric,0.29325611430085985
75% Corpus,24,0.31,0.01,0.30185131726598396
75% Corpus,24,0.31,0.31,0.3319166248758441
75% Corpus,24,0.31,0.61,0.3875175602274636
75% Corpus,24,0.31,0.9099999999999999,0.42738906336266885
75% Corpus,24,0.31,symmetric,0.2925926836795185
75% Corpus,24,0.61,0.01,0.2938061069731025
75% Corpus,24,0.61,0.31,0.37118390972846793
75% Corpus,24,0.61,0.61,0.3530777647917262
75% Corpus,24,0.61,0.9099999999999999,0.40118235518805134
75% Corpus,24,0.61,symmetric,0.30090081783326567
75% Corpus,24,0.9099999999999999,0.01,0.290030211298042
75% Corpus,24,0.9099999999999999,0.31,0.34300149873298996
75% Corpus,24,0.9099999999999999,0.61,0.3655794972882223
75% Corpus,24,0.9099999999999999,0.9099999999999999,0.42545482575612764
75% Corpus,24,0.9099999999999999,symmetric,0.29790391094482027
75% Corpus,24,symmetric,0.01,0.3071472730075862
75% Corpus,24,symmetric,0.31,0.32213854601306163
75% Corpus,24,symmetric,0.61,0.38226775305666133
75% Corpus,24,symmetric,0.9099999999999999,0.3662453689318632
75% Corpus,24,symmetric,symmetric,0.3050507292221957
75% Corpus,24,asymmetric,0.01,0.31963920116732764
75% Corpus,24,asymmetric,0.31,0.35331978827704175
75% Corpus,24,asymmetric,0.61,0.4189659527906384
75% Corpus,24,asymmetric,0.9099999999999999,0.5254122864554832
75% Corpus,24,asymmetric,symmetric,0.31981587688165186
100% Corpus,10,0.01,0.01,0.2515346068063847
100% Corpus,10,0.01,0.31,0.2622085793954569
100% Corpus,10,0.01,0.61,0.25981156472735234
100% Corpus,10,0.01,0.9099999999999999,0.2615669580560839
100% Corpus,10,0.01,symmetric,0.2578035333733576
100% Corpus,10,0.31,0.01,0.2513515668839814
100% Corpus,10,0.31,0.31,0.26158607867808786
100% Corpus,10,0.31,0.61,0.26303909841552187
100% Corpus,10,0.31,0.9099999999999999,0.2731128818637635
100% Corpus,10,0.31,symmetric,0.2556937394608571
100% Corpus,10,0.61,0.01,0.2549684396410333
100% Corpus,10,0.61,0.31,0.2571887116578678
100% Corpus,10,0.61,0.61,0.2555836067744076
100% Corpus,10,0.61,0.9099999999999999,0.27987374131261133
100% Corpus,10,0.61,symmetric,0.25735919213485564
100% Corpus,10,0.9099999999999999,0.01,0.2509217080348197
100% Corpus,10,0.9099999999999999,0.31,0.2499461862562579
100% Corpus,10,0.9099999999999999,0.61,0.25496355695094597
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.27933276129034534
100% Corpus,10,0.9099999999999999,symmetric,0.24660976984999308
100% Corpus,10,symmetric,0.01,0.2528987468541412
100% Corpus,10,symmetric,0.31,0.26082724856986433
100% Corpus,10,symmetric,0.61,0.2599992433304066
100% Corpus,10,symmetric,0.9099999999999999,0.2694824332206783
100% Corpus,10,symmetric,symmetric,0.25638679055633257
100% Corpus,10,asymmetric,0.01,0.2548638239752957
100% Corpus,10,asymmetric,0.31,0.261132304839912
100% Corpus,10,asymmetric,0.61,0.25917523612132076
100% Corpus,10,asymmetric,0.9099999999999999,0.33144901092704887
100% Corpus,10,asymmetric,symmetric,0.25413251582779706
100% Corpus,11,0.01,0.01,0.2699177098434456
100% Corpus,11,0.01,0.31,0.2636839934501464
100% Corpus,11,0.01,0.61,0.3071508691327162
100% Corpus,11,0.01,0.9099999999999999,0.29073914665011596
100% Corpus,11,0.01,symmetric,0.26993298144095923
100% Corpus,11,0.31,0.01,0.26671728473536216
100% Corpus,11,0.31,0.31,0.26646027771189734
100% Corpus,11,0.31,0.61,0.3002149831007745
100% Corpus,11,0.31,0.9099999999999999,0.309977957185313
